global_step,train_loss,mcc,eval_loss
2000,0.97222900390625,0.5103229232854872,0.97508720703125
4000,0.707427978515625,0.6818726041486782,0.6524688395182292
6000,0.5705490112304688,0.7282093019917312,0.48304777018229167
8000,0.6403274536132812,0.7589989236439625,0.42355305786132813
10000,0.33933067321777344,0.7789033040556212,0.39969837646484374
12000,0.07263374328613281,0.7937916957980468,0.3854050506591797
14000,0.24347591400146484,0.7994663434327709,0.3702253407796224
16000,0.055939674377441406,0.8048940904450761,0.3590792925516764
16875,0.625086784362793,0.8120576726555594,0.3572569630940755
18000,0.6065640449523926,0.8148915988992047,0.34548756815592446
20000,0.07685661315917969,0.8195482502305483,0.3554284589131673
22000,0.0215303897857666,0.8179737163320827,0.35068127047220865
24000,0.10839581489562988,0.8311229380060853,0.31538125712076825
26000,0.10406684875488281,0.823591775550587,0.33420359700520835
28000,0.08779382705688477,0.8356787408388336,0.3077344073613485
30000,0.2420717477798462,0.8323320335884398,0.3264973877588908
32000,0.04366159439086914,0.8367830001791626,0.31727708365122476
33750,0.1142798662185669,0.8392537783708925,0.3125613253911336
34000,0.33018600940704346,0.8373241988842148,0.33853722432454425
36000,0.8355691432952881,0.8334213435087159,0.35520196962356565
38000,0.18963372707366943,0.8373712495440763,0.3224530991236369
40000,0.5417147874832153,0.8419913357806428,0.3241860365231832
